accountNumber,name,pin,0
112233,Alice,123123,900
223344,Steve,321321,500
570312,George,112978,2031
193847,Kevin,383120,4141
849302,Tina,283940,2071
657483,Fiona,593847,1331
203948,Laura,103284,481
104837,Diana,320947,1181
839201,Hannah,398120,3691
203894,Charlie,473910,2541
302984,Oliver,382109,1001
849372,Bob,384210,2451
193820,Nina,581204,3141
104938,Julia,490382,1871
203748,Quincy,485201,1581
294817,Edward,193028,481
495820,Paula,493018,3451
129384,Rachel,928374,401
298320,Mark,348920,2851
593027,Ian,574293,4371
